field_1,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sqft_basement2,was_renovated,Hub distance_HubDist
"18","16000397",2014/12/05,189000,"2",1,"1200","9850",1,false,NONE,Good,7 Average,"1200",?,"1921",1921,"98002",47.3089,-122.21,"1060","5095","0",false,0.451744632764487
"19","7983200060",2015/04/24,230000,"3",1,"1250","9774",1,false,NONE,Good,7 Average,"1250","0.0","1969",1969,"98003",47.3343,-122.306,"1280","8850","0",false,0.368768275881836
"20","6300500875",2014/05/14,385000,"4",1.75,"1620","4980",1,false,NONE,Good,7 Average,"860","760.0","1947",1947,"98133",47.7025,-122.341,"1400","4980","760",false,0.627488453582653
"21","2524049179",2014/08/26,2000000,"3",2.75,"3050","44867",1,false,EXCELLENT,Average,9 Better,"2330","720.0","1968",1968,"98040",47.5316,-122.233,"4110","20336","720",false,0.229605739633346
"22","7137970340",2014/07/03,285000,"5",2.5,"2270","6300",2,false,NONE,Average,8 Good,"2270","0.0","1995",1995,"98092",47.3266,-122.169,"2240","7005","0",false,0.797711312913919
"23","8091400200",2014/05/16,252700,"2",1.5,"1070","9643",1,false,NONE,Average,7 Average,"1070","0.0","1985",1985,"98030",47.3533,-122.166,"1220","8386","0",false,0.377105619528613
"24","3814700200",2014/11/20,329000,"3",2.25,"2450","6500",2,false,NONE,Good,8 Good,"2450","0.0","1985",1985,"98030",47.3739,-122.172,"2200","6865","0",false,0.351039812267169
"25","1202000200",2014/11/03,233000,"3",2,"1710","4697",1.5,false,NONE,Very Good,6 Low Average,"1710","0.0","1941",1941,"98002",47.3048,-122.218,"1030","4705","0",false,0.506717756211154
"26","1794500383",2014/06/26,937000,"3",1.75,"2450","2691",2,false,NONE,Average,8 Good,"1750","700.0","1915",1915,"98119",47.6386,-122.36,"1760","3573","700",false,0.793475438409994
"27","3303700376",2014/12/01,667000,"3",1,"1400","1581",1.5,false,NONE,Very Good,8 Good,"1400","0.0","1909",1909,"98112",47.6221,-122.314,"1860","3861","0",false,0.328780929330078
"28","5101402488",2014/06/24,438000,"3",1.75,"1520","6380",1,false,NONE,Average,7 Average,"790","730.0","1948",1948,"98115",47.695,-122.304,"1520","6235","730",false,0.542135596082195
"29","1873100390",2015/03/02,719000,"4",2.5,"2570","7173",2,false,NONE,Average,8 Good,"2570","0.0","2005",2005,"98052",47.7073,-122.11,"2630","6026","0",false,0.353609408997522
"30","8562750320",2014/11/10,580500,"3",2.5,"2320","3980",2,false,NONE,Average,8 Good,"2320","0.0","2003",2003,"98027",47.5391,-122.07,"2580","3980","0",false,0.389907503592263
"31","2426039314",2014/12/01,280000,"2",1.5,"1190","1265",3,false,NONE,Average,7 Average,"1190","0.0","2005",2005,"98133",47.7274,-122.357,"1390","1756","0",false,0.10225516578178
"32","461000390",2014/06/24,687500,"4",1.75,"2330","5000",1.5,false,NONE,Good,7 Average,"1510","820.0","1929",1929,"98117",47.6823,-122.368,"1460","5000","820",false,1.51245827332095
"33","7589200193",2014/11/10,535000,"3",1,"1090","3000",1.5,false,NONE,Good,8 Good,"1090","0.0","1929",1929,"98117",47.6889,-122.375,"1570","5080","0",false,1.19724972599038
"34","7955080270",2014/12/03,322500,"4",2.75,"2060","6659",1,false,NONE,Average,7 Average,"1280","780.0","1981",1981,"98058",47.4276,-122.157,"2020","8720","780",false,0.305809719080064
"35","9547205180",2014/06/13,696000,"3",2.5,"2300","3060",1.5,false,NONE,Average,8 Good,"1510","790.0","1930",2002,"98115",47.6827,-122.31,"1590","3264","790",true,0.105267263686726
"36","9435300030",2014/05/28,550000,"4",1,"1660","34848",1,false,NONE,Poor,5 Fair,"930","730.0","1933",1933,"98052",47.6621,-122.132,"2160","11467","730",false,0.431542003680443
"37","2768000400",2014/12/30,640000,"4",2,"2360","6000",2,false,NONE,Good,8 Good,"2360","0.0","1904",1904,"98107",47.6702,-122.362,"1730","4700","0",false,0.833917042012016
"38","7895500070",2015/02/13,240000,"4",1,"1220","8075",1,false,NONE,Fair,7 Average,"890","330.0","1969",1969,"98001",47.3341,-122.282,"1290","7800","330",false,0.507434142736104
"39","2078500320",2014/06/20,605000,"4",2.5,"2620","7553",2,false,NONE,Average,8 Good,"2620","0.0","1996",1996,"98056",47.5301,-122.18,"2620","11884","0",false,0.508101041837018
"40","5547700270",2014/07/15,625000,"4",2.5,"2570","5520",2,false,NONE,Average,9 Better,"2570","0.0","2000",2000,"98074",47.6145,-122.027,"2470","5669","0",false,0.177078211648983
"41","7766200013",2014/08/11,775000,"4",2.25,"4220","24186",1,false,NONE,Average,8 Good,"2600","1620.0","1984",1984,"98166",47.445,-122.347,"2410","30617","1620",false,0.416317922523715
"42","7203220400",2014/07/07,861990,"5",2.75,"3595","5639",2,false,NONE,Average,9 Better,"3595",?,"2014",2014,"98053",47.6848,-122.016,"3625","5639","0",false,0.0975953865264248
"43","9270200160",2014/10/28,685000,"3",1,"1570","2280",2,false,NONE,Average,7 Average,"1570","0.0","1922",1922,"98119",47.6413,-122.364,"1580","2640","0",false,0.768107498906462
"44","1432701230",2014/07/29,309000,"3",1,"1280","9656",1,false,NONE,Good,6 Low Average,"920","360.0","1959",1959,"98058",47.4485,-122.175,"1340","8808","360",false,0.280277826448982
"45","8035350320",2014/07/18,488000,"3",2.5,"3160","13603",2,false,NONE,Average,8 Good,"3160","0.0","2003",2003,"98019",47.7443,-121.977,"3050","9232","0",false,0.165073794706314
"46","8945200830",2015/03/25,210490,"3",1,"990","8528",1,false,NONE,Average,6 Low Average,"990","0.0","1966",1966,"98023",47.3066,-122.371,"1228","8840","0",false,0.418108955287077
"47","4178300310",2014/07/16,785000,"4",2.5,"2290","13416",2,false,NONE,Good,9 Better,"2290","0.0","1981",1981,"98007",47.6194,-122.151,"2680","13685","0",false,0.286659198707435
"48","9215400105",2015/04/28,450000,"3",1.75,"1250","5963",1,false,NONE,Good,7 Average,"1250","0.0","1953",1953,"98115",47.6796,-122.301,"970","5100","0",false,0.530185168618396
"49","822039084",2015/03/11,1350000,"3",2.5,"2753","65005",1,true,AVERAGE,Very Good,9 Better,"2165","588.0","1953",1953,"98070",47.4041,-122.451,"2680","72513","588",false,0.0508384423828561
"50","5245600105",2014/09/16,228000,"3",1,"1190","9199",1,false,NONE,Average,7 Average,"1190","0.0","1955",1955,"98148",47.4258,-122.322,"1190","9364","0",false,0.343625212823308
"51","7231300125",2015/02/17,345000,"5",2.5,"3150","9134",1,false,NONE,Good,8 Good,"1640","1510.0","1966",1966,"98056",47.4934,-122.189,"1990","9133","1510",false,0.559615317976778
"52","7518505990",2014/12/31,600000,"3",1.75,"1410","4080",1,false,NONE,Good,7 Average,"1000","410.0","1950",1950,"98117",47.6808,-122.384,"1410","4080","410",false,0.963954288511753
"53","3626039271",2015/02/05,585000,"2",1.75,"1980","8550",1,false,NONE,Average,7 Average,"990","990.0","1981",1981,"98117",47.6989,-122.369,"1480","6738","990",false,0.815075246773559
"54","4217401195",2015/03/03,920000,"5",2.25,"2730","6000",1.5,false,NONE,Average,8 Good,"2130","600.0","1927",1927,"98105",47.6571,-122.281,"2730","6000","600",false,0.220344008453069
"55","9822700295",2014/05/12,885000,"4",2.5,"2830","5000",2,false,NONE,Average,9 Better,"2830","0.0","1995",1995,"98105",47.6597,-122.29,"1950","5000","0",false,0.207049248019281
"56","9478500640",2014/08/19,292500,"4",2.5,"2250","4495",2,false,NONE,Average,7 Average,"2250","0.0","2008",2008,"98042",47.3663,-122.114,"2250","4500","0",false,0.0965480337249965
"57","2799800710",2015/04/07,301000,"3",2.5,"2420","4750",2,false,NONE,Average,8 Good,"2420","0.0","2003",2003,"98042",47.3663,-122.122,"2690","4750","0",false,0.285620214997407
"58","7922800400",2014/08/27,951000,"5",3.25,"3250","14342",2,false,EXCELLENT,Good,8 Good,"3250","0.0","1968",1968,"98008",47.588,-122.116,"2960","11044","0",false,0.267121251944333
"59","8079040320",2015/02/23,430000,"4",3,"1850","9976",2,false,NONE,Average,8 Good,"1850","0.0","1991",1991,"98059",47.5059,-122.149,"2270","8542","0",false,0.0964784072163471
"60","1516000055",2014/12/10,650000,"3",2.25,"2150","21235",1,false,GOOD,Good,8 Good,"1590","560.0","1959",1959,"98166",47.4336,-122.339,"2570","18900","560",false,0.42097777570148
"61","9558200045",2014/08/28,289000,"3",1.75,"1260","8400",1,false,NONE,Average,7 Average,"1260","0.0","1954",1954,"98148",47.4366,-122.335,"1290","8750","0",false,0.653998637664958
"62","5072410070",2014/10/21,505000,"3",1.75,"2519","8690",2,false,NONE,Very Good,8 Good,"2519","0.0","1973",1973,"98166",47.4428,-122.344,"2500","9500","0",false,0.471475838243866
"63","9528102996",2014/12/07,549000,"3",1.75,"1540","1044",3,false,NONE,Average,8 Good,"1540","0.0","2014",2014,"98115",47.6765,-122.32,"1580","3090","0",false,0.398030833801319
"64","1189001180",2014/06/03,425000,"3",2.25,"1660","6000",1,false,NONE,Average,7 Average,"1110","550.0","1979",1979,"98122",47.6113,-122.297,"1440","4080","550",false,0.697590818670861
"65","3253500160",2014/11/20,317625,"3",2.75,"2770","3809",1.5,false,NONE,Very Good,7 Average,"1770","1000.0","1925",1925,"98144",47.5747,-122.304,"1440","4000","1000",false,0.437828941069586
"66","3394100030",2014/09/09,975000,"4",2.5,"2720","11049",2,false,NONE,Average,10 Very Good,"2720","0.0","1989",1989,"98004",47.5815,-122.192,"2750","11049","0",false,0.222493717930878
"67","3717000160",2014/10/09,287000,"4",2.5,"2240","4648",2,false,NONE,Average,7 Average,"2240","0.0","2005",2005,"98001",47.3378,-122.257,"2221","4557","0",false,0.991841875311621
"68","1274500060",2014/08/25,204000,"3",1,"1000","12070",1,false,NONE,Good,7 Average,"1000","0.0","1968",1968,"98042",47.3621,-122.11,"1010","12635","0",false,0.438348176167669
"69","1802000060",2014/06/12,1330000,"5",2.25,"3200","20158",1,false,NONE,Average,8 Good,"1600","1600.0","1965",1965,"98004",47.6303,-122.215,"3390","20158","1600",false,0.356965690351704
"70","1525059190",2014/09/12,1040000,"5",3.25,"4770","50094",1,false,NONE,Good,11 Excellent,"3070","1700.0","1973",1973,"98005",47.6525,-122.16,"3530","38917","1700",false,0.398376318629023
"71","1049000060",2015/01/05,325000,"3",2,"1260","5612",1,false,NONE,Good,7 Average,"1260","0.0","1972",1972,"98034",47.7362,-122.179,"1640","4745","0",false,0.373912601565508
"72","8820901275",2014/06/10,571000,"4",2,"2750","7807",1.5,false,NONE,Very Good,7 Average,"2250","500.0","1916",1916,"98125",47.7168,-122.287,"1510","7807","500",false,0.387800668622872
"73","5416510140",2014/07/10,360000,"4",2.5,"2380","5000",2,false,NONE,Average,8 Good,"2380","0.0","2005",2005,"98038",47.3608,-122.036,"2420","5000","0",false,0.220920332131572
"74","3444100400",2015/03/16,349000,"3",1.75,"1790","50529",1,false,NONE,Very Good,7 Average,"1090","700.0","1965",1965,"98042",47.3511,-122.073,"1940","50529","700",false,0.120027984083385
"75","3276920270",2014/11/05,832500,"4",4,"3430","35102",2,false,NONE,Good,10 Very Good,"2390","1040.0","1986",1986,"98075",47.5822,-121.987,"3240","35020","1040",false,0.112223145894448
"76","4036801170",2014/10/13,380000,"4",1.75,"1760","7300",1,false,NONE,Average,7 Average,"880","880.0","1956",1956,"98008",47.6034,-122.125,"1680","7500","880",false,0.490860178118114
"77","2391600320",2015/04/20,480000,"3",1,"1040","5060",1,false,NONE,Average,7 Average,"1040","0.0","1941",1941,"98116",47.5636,-122.394,"890","5060","0",false,0.565639352474679
"78","6300000287",2014/06/09,410000,"3",1,"1410","5060",1,false,NONE,Good,7 Average,"910","500.0","1956",1956,"98133",47.7073,-122.34,"1130","5693","500",false,0.859436641227724
"79","1531000030",2015/03/23,720000,"4",2.5,"3450","39683",2,false,NONE,Average,10 Very Good,"3450",?,"2002",2002,"98010",47.342,-122.025,"3350","39750","0",false,0.405343336293912
"80","5104520400",2014/12/02,390000,"3",2.5,"2350","5100",2,false,NONE,Average,8 Good,"2350","0.0","2003",2003,"98038",47.3512,-122.008,"2350","5363","0",false,0.448289635724365
"81","7437100340",2014/12/22,360000,"4",2.5,"1900","5889",2,false,NONE,Average,7 Average,"1900","0.0","1992",1992,"98038",47.349,-122.031,"1870","6405","0",false,0.490645408965433
"82","9418400240",2014/10/28,355000,"2",1,"2020","6720",1,false,NONE,Average,7 Average,"1010","1010.0","1948",1948,"98118",47.5474,-122.291,"1720","6720","1010",false,1.67304168495898
"83","1523059105",2015/01/28,356000,"3",1.5,"1680","8712",1,false,NONE,Average,8 Good,"1680","0.0","1964",1964,"98059",47.4811,-122.149,"1850","8797","0",false,0.854210246752213
"84","1133000671",2014/06/02,315000,"3",1,"960","6634",1,false,NONE,Average,6 Low Average,"960","0.0","1952",1952,"98125",47.7264,-122.31,"1570","7203","0",false,0.446454659573767
"85","4232902595",2014/11/14,940000,"3",1.5,"2140","3600",2,false,NONE,Average,9 Better,"1900","240.0","1925",1925,"98119",47.6337,-122.365,"2020","4800","240",false,0.675987599865298
"86","2599001200",2014/11/03,305000,"5",2.25,"2660","8400",1.5,false,NONE,Very Good,7 Average,"2660","0.0","1961",1961,"98092",47.2909,-122.189,"1590","8165","0",false,0.775781751584058
"87","3342103156",2014/06/18,461000,"3",3.25,"2770","6278",2,false,NONE,Average,9 Better,"1980","790.0","2006",2006,"98056",47.5228,-122.199,"1900","7349","790",false,0.410437140188494
"88","1332700270",2014/05/19,215000,"2",2.25,"1610","2040",2,false,NONE,Good,7 Average,"1610","0.0","1979",1979,"98056",47.518,-122.194,"1950","2025","0",false,0.615550949758647
"89","3869900162",2014/09/04,335000,"2",1.75,"1030","1066",2,false,NONE,Average,7 Average,"765","265.0","2006",2006,"98136",47.5394,-122.387,"1030","1106","265",false,0.420329713432756
"90","2791500270",2014/05/22,243500,"4",2.5,"1980","7403",2,false,NONE,Average,7 Average,"1980","0.0","1988",1988,"98023",47.2897,-122.372,"1980","7510","0",false,0.855211252937636
"91","5036300431",2015/03/11,1100000,"5",2.75,"3520","6353",2,false,NONE,Good,10 Very Good,"3520","0.0","2001",2001,"98199",47.6506,-122.391,"2520","6250","0",false,0.0411360698653064
"92","4168000060",2015/02/26,153000,"3",1,"1200","10500",1,false,NONE,Average,7 Average,"1200","0.0","1962",1962,"98023",47.322,-122.351,"1350","10500","0",false,0.326462533728451
"93","6021501535",2014/07/25,430000,"3",1.5,"1580","5000",1,false,NONE,Average,8 Good,"1290","290.0","1939",1939,"98117",47.687,-122.386,"1570","4500","290",false,1.05807115494085
"94","6021501535",2014/12/23,700000,"3",1.5,"1580","5000",1,false,NONE,Average,8 Good,"1290","290.0","1939",1939,"98117",47.687,-122.386,"1570","4500","290",false,1.05807115494085
"95","1483300570",2014/09/08,905000,"4",2.5,"3300","10250",1,false,NONE,Average,7 Average,"2390","910.0","1946",1991,"98040",47.5873,-122.249,"1950","6045","910",true,0.231113672402089
"96","3422049190",2015/03/30,247500,"3",1.75,"1960","15681",1,false,NONE,Average,7 Average,"1960","0.0","1967",1967,"98032",47.3576,-122.277,"1750","15616","0",false,0.296366611075178
"97","1099611230",2014/09/12,199000,"4",1.5,"1160","6400",1,false,NONE,Good,7 Average,"1160","0.0","1975",1975,"98023",47.3036,-122.378,"1160","6400","0",false,0.523039027138477
"98","722079104",2014/07/11,314000,"3",1.75,"1810","41800",1,false,NONE,Very Good,7 Average,"1210","600.0","1980",1980,"98038",47.4109,-121.958,"1650","135036","600",false,0.635148679151918
"99","7338200240",2014/05/16,437500,"3",2.5,"2320","36847",2,false,AVERAGE,Average,9 Better,"2320","0.0","1992",1992,"98045",47.4838,-121.714,"2550","35065","0",false,0.115378775885978
"100","1952200240",2014/06/11,850830,"3",2.5,"2070","13241",1.5,false,NONE,Very Good,9 Better,"1270","800.0","1910",1910,"98102",47.6415,-122.315,"2200","4500","800",false,0.0646537168437231
"101","5200100125",2014/10/27,555000,"3",2,"1980","3478",1.5,false,NONE,Good,7 Average,"1440","540.0","1929",1929,"98117",47.6775,-122.372,"1610","3478","540",false,1.14518911898717
"102","7214720075",2014/12/12,699950,"3",2.25,"2190","107593",2,false,NONE,Good,8 Good,"2190","0.0","1983",1983,"98077",47.7731,-122.08,"2570","47777","0",false,0.360603126348703
"103","2450000295",2014/10/07,1090000,"3",2.5,"2920","8113",2,false,NONE,Average,8 Good,"2920","0.0","1950",2010,"98004",47.5814,-122.196,"2370","8113","0",true,0.181530312330562
"104","6197800045",2014/09/24,290000,"3",1,"1210","33919",1,false,NONE,Average,7 Average,"1210","0.0","1954",1954,"98058",47.4375,-122.184,"1640","14910","0",false,0.560974685047724
"105","1328310370",2015/04/02,375000,"3",2.5,"2340","10005",1,false,NONE,Good,8 Good,"1460","880.0","1978",1978,"98058",47.4431,-122.133,"2250","8162","880",false,0.355188560061377
"106","546000875",2014/05/23,460000,"3",1,"1670","4005",1.5,false,NONE,Good,7 Average,"1170","500.0","1939",1939,"98117",47.6878,-122.38,"1240","4005","500",false,1.13394927633097
"107","3530510041",2014/07/23,188500,"2",1.75,"1240","2493",1,false,NONE,Good,8 Good,"1240","0.0","1985",1985,"98198",47.3813,-122.322,"1270","4966","0",false,0.192646371722217
"108","1853000400",2015/03/05,680000,"4",2.5,"3140","28037",2,false,NONE,Good,10 Very Good,"3140","0.0","1991",1991,"98077",47.7304,-122.082,"2990","35001","0",false,0.223763544709753
"109","3134100116",2014/08/27,470000,"5",1.75,"2030","12342",2,false,NONE,Good,7 Average,"2030","0.0","1942",1942,"98052",47.6417,-122.109,"2500","9433","0",false,0.329949050793896
"110","9545230140",2014/07/25,597750,"4",2.5,"2310","9624",2,false,NONE,Average,8 Good,"2310","0.0","1984",1984,"98027",47.5386,-122.053,"1940","9636","0",false,0.309855663190497
"111","3362400511",2015/03/04,570000,"3",1.75,"1260","3328",1,false,NONE,Very Good,6 Low Average,"700","560.0","1905",1905,"98103",47.6823,-122.349,"1380","3536","560",false,0.246913057329408
"112","2525310310",2014/09/16,272500,"3",1.75,"1540","12600",1,false,NONE,Good,7 Average,"1160",?,"1980",1980,"98038",47.3624,-122.031,"1540","11656","380",false,0.197174702366769
"113","6126500060",2014/11/24,329950,"3",1.75,"2080","5969",1,false,AVERAGE,Average,7 Average,"1080","1000.0","1971",1971,"98108",47.5474,-122.295,"2090","5500","1000",false,1.54589913038603
"114","8961960160",2014/10/28,480000,"4",2.5,"3230","16171",2,false,NONE,Average,9 Better,"2520","710.0","2001",2001,"98001",47.3183,-122.253,"2640","8517","710",false,0.202273062770468
"115","3626039325",2014/11/21,740500,"3",3.5,"4380","6350",2,false,NONE,Average,8 Good,"2780",?,"1900",1900,"98117",47.6981,-122.368,"1830","6350","1600",false,0.863399694234275
"116","3362400431",2014/06/26,518500,"3",3.5,"1590","1102",3,false,NONE,Average,8 Good,"1590","0.0","2010",2010,"98103",47.6824,-122.347,"1620","3166","0",false,0.182393181413797
"117","4060000240",2014/06/23,205425,"2",1,"880","6780",1,false,NONE,Good,6 Low Average,"880","0.0","1945",1945,"98178",47.5009,-122.248,"1190","6780","0",false,0.541673361323892
"118","3454800060",2015/01/08,171800,"4",2,"1570","9600",1,false,NONE,Average,6 Low Average,"1570","0.0","1950",1950,"98168",47.4965,-122.303,"1880","9000","0",false,0.614964414875788
"119","1695900060",2015/05/11,535000,"4",1,"1610","2982",1.5,false,NONE,Good,7 Average,"1610","0.0","1925",1925,"98144",47.587,-122.294,"1610","4040","0",false,0.235262259355849
"120","7278700070",2015/01/02,660000,"3",2.5,"2400","6474",1,false,AVERAGE,Average,8 Good,"1560","840.0","1964",1964,"98177",47.7728,-122.386,"2340","10856","840",false,0.37555028394566
"121","6675500070",2014/11/19,391500,"3",2,"1450","9132",1,false,NONE,Average,7 Average,"1450","0.0","1987",1987,"98034",47.7288,-122.226,"1580","9104","0",false,0.0968038746190934
"122","3626039187",2015/04/06,395000,"2",1,"770","6000",1,false,NONE,Average,6 Low Average,"770","0.0","1953",1953,"98117",47.6999,-122.364,"1710","6000","0",false,0.740246216009223
"123","3524049083",2014/11/04,445000,"4",1.75,"2100","4400",1.5,false,NONE,Very Good,7 Average,"1720","380.0","1924",1924,"98118",47.5299,-122.266,"1850","4400","380",false,0.127109511551962
"124","3275860240",2014/06/18,770000,"3",2.25,"2910","10204",2,false,NONE,Average,9 Better,"2910","0.0","1990",1990,"98052",47.6897,-122.098,"2700","13992","0",false,0.420896833185051
"125","4389200955",2015/03/02,1450000,"4",2.75,"2750","17789",1.5,false,NONE,Average,8 Good,"1980","770.0","1914",1992,"98004",47.6141,-122.212,"3060","11275","770",true,0.179206315075553
"126","4058801670",2014/07/17,445000,"3",2.25,"2100","8201",1,false,AVERAGE,Average,8 Good,"1620","480.0","1967",1967,"98178",47.5091,-122.244,"2660","8712","480",false,0.166597142356337
"127","8732020310",2014/07/17,260000,"4",2.25,"2160","8811",1,false,NONE,Average,8 Good,"1360","800.0","1978",1978,"98023",47.3129,-122.39,"2090","8400","800",false,0.0669343430928233
"128","2331300505",2014/06/13,822500,"5",3.5,"2320","4960",2,false,NONE,Very Good,7 Average,"1720","600.0","1926",1926,"98103",47.6763,-122.352,"1700","4960","600",false,0.267508696686487
"129","7853210060",2015/04/06,430000,"4",2.5,"2070","4310",2,false,NONE,Average,7 Average,"2070","0.0","2004",2004,"98065",47.5319,-121.85,"1970","3748","0",false,0.103857975835688
"130","3668000070",2015/01/05,212000,"3",1.75,"1060","7875",1,false,NONE,Good,7 Average,"1060","0.0","1986",1986,"98092",47.2761,-122.152,"1420","7680","0",false,0.701555992965832
"131","9545240070",2015/04/28,660500,"4",2.25,"2010","9603",1,false,NONE,Average,8 Good,"1440","570.0","1986",1986,"98027",47.5343,-122.054,"2060","9793","570",false,0.366669811688019
"132","1243100136",2014/06/12,784000,"3",3.5,"3950","111078",1.5,false,NONE,Average,9 Better,"2460","1490.0","1989",1989,"98052",47.697,-122.072,"2480","88500","1490",false,0.156709998423812
"133","8929000270",2014/05/12,453246,"3",2.5,"2010","2287",2,false,NONE,Average,8 Good,"1390","620.0","2014",2014,"98029",47.5517,-121.998,"1690","1662","620",false,0.215057954899065
"134","2767602356",2015/01/26,675000,"4",3.5,"2140","2278",3,false,NONE,Average,9 Better,"2140","0.0","2005",2005,"98107",47.6734,-122.38,"1540","2285","0",false,0.633956571716398
"135","921049315",2014/08/13,199000,"3",1.75,"1320","17390",1,false,NONE,Good,7 Average,"1320","0.0","1956",1956,"98003",47.3257,-122.296,"1550","19265","0",false,0.115068091263555
"136","3655000070",2014/08/05,220000,"4",1.75,"2020","7840",1,false,NONE,Average,7 Average,"1010","1010.0","1968",1968,"98003",47.3309,-122.299,"1750","8140","1010",false,0.122437091119935
"137","4027700812",2014/05/29,452000,"4",2.25,"2590","10002",1,false,NONE,Good,8 Good,"1340","1250.0","1968",1968,"98028",47.7689,-122.266,"1550","10436","1250",false,0.499717996262251
"138","3992700335",2014/07/07,382500,"2",1,"1190","4440",1,false,NONE,Average,6 Low Average,"1190","0.0","1981",1981,"98125",47.7135,-122.287,"1060","5715","0",false,0.54972457517626
"139","2767603505",2014/05/07,519950,"3",2.25,"1170","1249",3,false,NONE,Average,8 Good,"1170","0.0","2014",2014,"98107",47.6722,-122.381,"1350","1310","0",false,0.541417291051809
"140","4232901525",2014/06/27,665000,"2",1,"1110","3200",1,false,NONE,Average,7 Average,"1110","0.0","1925",1925,"98119",47.6338,-122.358,"1170","3600","0",false,0.886224115340525
"141","1777500060",2014/07/08,527700,"5",2.5,"2820","9375",1,false,NONE,Good,8 Good,"1550","1270.0","1968",1968,"98006",47.5707,-122.128,"2820","9375","1270",false,0.567664813084499
"142","1432900240",2015/05/08,205000,"3",1,"1610","8579",1,false,NONE,Good,7 Average,"1010","600.0","1962",1962,"98058",47.4563,-122.171,"1610","8579","600",false,0.612499048180238
"143","6140100875",2015/04/15,420000,"3",1,"1060","8097",1,false,NONE,Good,7 Average,"940","120.0","1923",1923,"98133",47.7144,-122.351,"1560","7940","120",false,0.729083843717315
